
PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,21,11,1,5,2,-2,89,59,28,1025,1022,1020,8,5,2,14,4,16,0.00,0,,72<br />
2012-1-2,28,15,2,5,1,-4,76,45,13,1027,1023,1021,16,8,4,21,6,24,0.00,0,,325<br />
2012-1-3,19,12,4,6,4,1,86,62,37,1029,1026,1025,10,7,3,19,6,21,0.00,0,,97<br />
2012-1-4,21,12,3,7,4,0,82,60,37,1029,1027,1024,10,7,5,19,6,26,0.00,0,,67<br />
2012-1-5,19,12,3,7,4,1,85,63,40,1027,1024,1021,10,6,3,14,4,19,0.00,0,,100<br />
2012-1-6,19,12,4,6,3,1,79,57,34,1021,1020,1018,11,7,4,23,6,,0.00,1,,347<br />
2012-1-7,17,11,4,5,3,1,85,64,43,1023,1021,1020,16,9,3,14,5,19,0.00,4,,128<br />
2012-1-8,17,9,1,3,1,-2,82,59,36,1025,1023,1022,14,12,8,11,5,,0.00,0,,104<br />
2012-1-9,21,11,1,3,1,-2,75,52,28,1025,1023,1021,16,12,10,21,6,24,0.00,0,,82<br />
2012-1-10,22,12,3,3,1,-2,76,50,24,1021,1020,1017,16,11,8,21,6,24,0.00,0,,358<br />
2012-1-11,17,11,4,3,2,0,76,58,39,1020,1019,1017,10,7,5,16,4,23,0.00,0,,82<br />
2012-1-12,20,11,2,4,2,-1,85,59,32,1021,1019,1017,6,5,3,21,8,24,0.00,0,,29<br />
2012-1-13,23,13,2,2,0,-3,82,50,17,1024,1022,1021,13,6,2,21,8,24,0.00,0,,69<br />
2012-1-14,18,9,1,1,-1,-3,75,52,28,1024,1021,1019,10,7,6,11,4,14,0.00,0,,127<br />
2012-1-15,23,13,2,3,-7,-14,59,34,8,1019,1017,1014,16,15,10,39,9,47,0.00,4,,41<br />
2012-1-16,12,7,2,2,-2,-5,70,53,35,1027,1024,1020,16,16,16,26,11,34,0.00,3,,324<br />
2012-1-17,12,6,-2,-4,-6,-8,69,49,29,1029,1028,1027,16,16,16,13,5,21,0.00,0,,113<br />
2012-1-18,16,7,-2,-4,-5,-7,69,47,25,1029,1028,1025,16,16,14,19,5,,0.00,0,,79<br />
2012-1-19,15,7,-1,-2,-4,-6,69,48,26,1024,1022,1019,16,13,11,13,4,14,0.00,0,,116<br />
