
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-2-17,6,2,-3,-3,-4,-6,85,65,45,1027,1025,1022,16,16,16,19,8,27,0.00,5,,215<br />
2012-2-18,6,1,-3,-1,-4,-7,92,72,51,1021,1016,1013,16,13,1,40,21,52,1.02,6,Snow,197<br />
2012-2-19,1,-3,-7,-7,-8,-9,92,71,49,1018,1015,1012,16,16,16,32,18,35,0.25,4,,229<br />
2012-2-20,2,-2,-6,-3,-8,-11,78,61,43,1020,1018,1015,16,14,5,34,19,42,0.51,5,Snow,200<br />
2012-2-21,6,3,0,3,1,-2,92,87,82,1020,1018,1016,16,15,6,60,31,77,T,8,Rain-Snow,229<br />
2012-2-22,10,6,1,2,0,-6,79,66,52,1017,1012,1007,16,15,3,74,47,100,T,4,Snow,251<br />
2012-2-23,4,0,-4,-7,-8,-12,81,56,30,1024,1021,1013,16,16,16,42,22,56,T,2,,219<br />
2012-2-24,7,1,-5,-8,-9,-11,74,52,30,1029,1024,1012,16,16,16,39,19,53,0.00,0,,195<br />
2012-2-25,7,1,-5,-1,-8,-11,92,61,29,1020,1011,1001,16,14,1,76,45,95,1.02,5,Snow,227<br />
2012-2-26,1,-3,-7,-8,-11,-14,84,59,33,1025,1021,1017,16,16,16,37,19,47,0.00,3,,208<br />
2012-2-27,3,-2,-7,-3,-8,-12,78,57,35,1016,1012,1007,16,15,3,16,9,24,0.25,6,Snow,25<br />
2012-2-28,3,-1,-5,-2,-7,-11,92,65,37,1016,1011,1006,16,11,1,45,24,53,2.54,5,Snow,232<br />
2012-2-29,4,-2,-9,-1,-6,-12,92,70,47,1014,1011,1006,16,13,1,66,31,85,2.03,6,Fog-Snow,201<br />
2012-3-1,0,-3,-6,-5,-7,-12,81,70,58,1017,1013,1009,16,14,2,37,19,47,0.25,7,Snow,248<br />
2012-3-2,-1,-4,-9,-7,-9,-11,92,73,53,1029,1027,1019,16,16,14,40,25,52,T,2,,232<br />
2012-3-3,5,1,-3,-1,-4,-9,70,64,58,1030,1029,1027,16,16,16,42,26,52,0.00,5,,222<br />
2012-3-4,11,6,1,-1,-2,-4,82,62,41,1029,1026,1020,16,16,16,32,21,40,0.00,1,,191<br />
2012-3-5,15,6,-3,-1,-3,-6,78,54,30,1019,1013,1001,16,16,16,39,19,48,0.00,1,,186<br />
2012-3-6,11,4,-3,-1,-6,-11,85,58,30,1013,1004,998,16,15,1,58,28,71,T,7,Snow,249<br />
2012-3-7,3,-3,-10,-9,-12,-14,73,53,32,1032,1023,1013,16,16,16,34,15,42,0.00,0,,311<br />
2012-3-8,8,1,-8,-6,-8,-11,75,55,34,1037,1035,1032,16,16,16,19,6,23,0.00,0,,227<br />
2012-3-9,14,3,-8,-2,-6,-10,92,60,28,1036,1030,1023,16,16,16,14,4,21,0.00,0,,336<br />
2012-3-10,16,4,-8,-3,-6,-9,92,57,22,1022,1016,1009,16,16,16,21,7,27,0.00,0,,76<br />
2012-3-11,15,7,-2,0,-4,-9,76,50,24,1009,1006,1004,16,16,16,35,15,58,T,2,,232<br />
2012-3-12,14,6,-3,-1,-3,-7,85,56,26,1014,1010,1006,16,16,16,40,12,53,0.00,1,,210<br />
2012-3-13,14,11,7,0,-4,-7,54,40,26,1009,1006,1003,16,16,11,53,30,76,T,6,Rain,195<br />
2012-3-14,12,8,3,5,3,0,93,74,54,1018,1014,1009,16,15,10,39,15,50,3.30,7,Rain,219<br />
2012-3-15,18,10,2,5,3,1,92,64,36,1018,1016,1011,16,16,16,34,10,40,T,7,Rain,171<br />
2012-3-16,14,9,5,6,4,3,96,74,51,1010,1008,1002,16,16,6,35,11,42,3.56,7,Rain,198<br />
2012-3-17,12,6,0,4,2,0,100,77,54,1002,999,995,16,14,1,58,15,76,4.32,7,Rain-Snow,200<br />
2012-3-18,6,2,-1,2,0,-2,100,90,79,1000,996,993,16,10,1,35,13,40,11.43,8,Fog-Rain-Snow,223<br />
2012-3-19,4,-1,-5,-2,-6,-10,92,66,40,1016,1007,999,16,16,16,48,32,63,T,6,,235<br />
2012-3-20,7,2,-4,-3,-9,-13,60,47,33,1021,1019,1016,16,16,16,39,22,48,0.00,3,,185<br />
2012-3-21,15,10,4,0,-2,-3,57,47,36,1019,1017,1014,16,16,16,37,21,47,0.00,4,,175<br />
2012-3-22,21,13,4,-1,-2,-3,60,41,22,1014,1010,1006,16,16,16,45,16,56,0.00,0,,172<br />
2012-3-23,18,11,4,3,-1,-3,70,48,26,1014,1009,1004,16,16,16,50,19,63,0.00,1,,219<br />
2012-3-24,21,9,-3,1,-2,-5,92,55,17,1017,1013,1008,16,16,16,42,13,53,0.00,0,,165<br />
2012-3-25,21,14,7,-1,-3,-5,46,33,19,1008,1005,1001,16,16,16,52,19,66,0.00,0,,151<br />
2012-3-26,12,8,3,4,1,-3,92,67,42,1016,1007,1000,16,15,3,58,22,72,4.83,5,Rain,204<br />
2012-3-27,15,8,1,-1,-3,-4,70,50,30,1019,1015,1011,16,16,16,32,14,39,0.00,2,,174<br />
2012-3-28,12,7,2,4,0,-4,86,61,35,1017,1012,1008,16,16,16,40,18,48,1.27,5,Rain,239<br />
2012-3-29,10,4,-2,4,0,-4,93,73,53,1018,1017,1014,16,16,16,27,7,34,0.25,5,Rain,250<br />
2012-3-30,15,10,5,7,4,3,93,74,55,1015,1013,1010,16,16,16,32,10,40,0.25,6,Rain,257<br />
2012-3-31,23,14,6,5,1,-4,76,48,19,1009,1001,991,16,12,3,53,30,90,T,5,Rain,175<br />
2012-4-1,9,5,1,-2,-6,-10,75,54,33,1017,1009,1001,16,16,16,53,35,69,T,6,,241<br />
2012-4-2,11,2,-7,-6,-11,-16,81,48,15,1025,1023,1017,16,16,16,26,10,40,T,1,,233<br />
2012-4-3,16,4,-7,-2,-6,-10,81,54,27,1023,1019,1011,16,16,16,29,6,37,0.00,0,,294<br />
2012-4-4,17,9,2,-2,-4,-8,57,41,25,1011,1009,1006,16,16,16,48,21,61,0.00,1,,244<br />
2012-4-5,10,4,-2,-4,-7,-9,72,51,29,1015,1011,1007,16,16,16,45,19,53,0.00,3,,243<br />
2012-4-6,7,2,-3,-2,-6,-13,92,58,24,1027,1014,1008,16,12,1,60,33,74,2.29,6,Snow,235<br />
2012-4-7,13,3,-7,-8,-10,-12,68,44,19,1030,1026,1023,16,16,16,27,11,39,0.00,0,,178<br />
2012-4-8,21,8,-6,-5,-8,-16,81,46,10,1026,1022,1018,16,16,16,21,5,27,0.00,0,,38<br />
2012-4-9,23,9,-5,-3,-8,-13,69,40,10,1019,1016,1013,16,16,16,23,8,29,0.00,0,,95<br />
2012-4-10,26,12,-3,-2,-6,-9,78,45,11,1014,1010,1005,16,16,16,40,12,53,0.00,0,,162<br />
2012-4-11,24,14,3,6,-2,-7,89,52,15,1008,1003,999,16,15,6,61,22,74,6.60,3,Rain,208<br />
2012-4-12,11,7,3,3,-2,-7,82,55,28,1010,1008,1003,16,16,16,42,26,56,0.51,3,,217<br />
2012-4-13,12,6,0,2,-1,-3,85,62,38,1012,1008,1004,16,16,16,29,10,39,0.51,4,Rain,168<br />
2012-4-14,17,6,-5,-1,-4,-9,92,55,17,1008,1005,1002,16,16,16,37,12,47,T,2,,16<br />
2012-4-15,13,7,1,-3,-6,-9,64,44,24,1017,1014,1008,16,16,16,47,24,58,0.00,4,,231<br />
2012-4-16,16,6,-4,4,-3,-7,81,54,26,1022,1020,1019,16,16,11,45,16,56,1.52,3,Rain,228<br />
2012-4-17,17,11,5,6,2,-3,92,60,27,1022,1018,1013,16,16,16,47,21,58,2.03,5,Rain,228<br />
2012-4-18,15,11,6,6,2,-3,92,61,30,1016,1015,1012,16,16,16,47,27,58,0.76,5,Rain,230<br />
2012-4-19,15,10,5,4,3,2,79,63,47,1021,1019,1016,16,16,16,45,25,53,0.00,4,,225<br />
2012-4-20,21,15,8,7,3,-3,77,51,25,1023,1020,1017,16,16,16,50,29,63,0.00,2,,231<br />
2012-4-21,26,14,2,5,2,0,92,56,19,1021,1018,1016,16,16,16,29,10,37,0.00,0,,252<br />
2012-4-22,29,18,7,6,2,-3,76,44,12,1020,1016,1013,16,16,16,23,9,26,T,1,Rain,29<br />
2012-4-23,30,18,6,6,4,2,82,50,17,1015,1013,1009,16,16,16,39,9,50,0.00,1,Thunderstorm,18<br />
2012-4-24,27,18,9,7,5,3,74,50,25,1012,1010,1007,16,16,14,42,20,58,0.00,1,,233<br />
2012-4-25,26,16,6,6,4,2,83,53,23,1015,1010,1005,16,16,16,47,16,61,0.00,1,,199<br />
2012-4-26,22,14,6,8,4,3,92,62,31,1010,1004,999,16,15,8,48,33,66,6.86,6,Rain,203<br />
2012-4-27,10,6,1,4,-2,-7,82,56,29,1022,1017,1009,16,16,16,60,37,74,0.00,4,,238<br />
2012-4-28,12,5,-2,0,-5,-8,75,51,27,1023,1020,1016,16,16,16,26,14,34,0.00,2,,219<br />
2012-4-29,16,9,3,1,-1,-2,76,54,31,1018,1017,1015,16,16,16,35,18,45,0.00,3,,230<br />
2012-4-30,18,11,3,8,2,-2,71,51,31,1015,1009,1005,16,16,16,47,19,58,1.02,4,Rain,212<br />
2012-5-1,15,11,6,6,-1,-6,77,52,26,1012,1008,1005,16,16,16,50,25,61,0.00,5,,228<br />
2012-5-2,16,10,4,2,-3,-7,85,54,23,1013,1010,1004,16,16,16,42,19,53,T,1,,230<br />
2012-5-3,16,11,5,4,1,-2,66,49,32,1012,1010,1008,16,16,16,52,13,61,T,4,Rain,273<br />
2012-5-4,18,12,5,6,2,-2,71,51,31,1018,1013,1010,16,16,8,64,18,82,T,6,Rain,200<br />
2012-5-5,12,7,2,-1,-3,-8,76,51,26,1027,1023,1019,16,16,16,47,29,61,0.00,5,,230<br />
2012-5-6,15,7,-1,-2,-6,-8,69,45,21,1028,1026,1024,16,16,16,26,11,32,0.00,0,,227<br />
2012-5-7,19,8,-4,-3,-7,-10,81,47,13,1027,1024,1020,16,16,16,27,10,50,0.00,0,,318<br />
