
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-3,2,-4,-7,-13,-13,-13,63,47,33,1034,1033,1031,16,12,11,11,6,21,0.00,0,,340<br />
2012-1-4,11,3,-3,1,-7,-11,64,44,25,1028,1025,1021,11,11,11,23,6,37,0.00,0,,224<br />
2012-1-5,14,7,-1,3,1,-1,100,65,38,1026,1024,1021,11,11,8,0,0,,0.00,0,Fog,-1<br />
2012-1-6,19,9,0,7,3,-1,93,58,39,1022,1019,1016,11,11,11,11,2,24,0.00,1,,245<br />
2012-1-9,16,14,14,15,14,12,100,94,88,1022,1020,1019,11,4,0,0,0,,0.00,7,Fog,-1<br />
2012-1-10,14,12,11,14,12,10,100,96,94,1019,1016,1014,6,4,1,0,0,,0.00,8,Fog-Rain,-1<br />
2012-1-11,17,13,9,14,11,8,100,94,82,1003,1001,999,11,8,2,23,8,39,0.00,7,Rain-Hail-Thunderstorm,243<br />
2012-1-12,9,4,1,8,4,-2,93,88,81,1009,1005,1003,8,7,5,24,8,35,0.00,8,Rain,249<br />
2012-1-13,2,-1,-3,-7,-8,-9,69,58,48,1022,1020,1018,11,11,11,19,13,29,0.00,5,,248<br />
2012-1-17,17,16,15,15,14,12,94,87,82,1019,1017,1014,11,10,6,27,21,45,0.00,8,Rain-Thunderstorm,197<br />
2012-1-18,4,1,0,-4,-4,-5,75,65,52,1026,1024,1022,11,11,11,19,14,26,0.00,4,,3<br />
2012-1-19,14,7,0,-2,-3,-5,87,51,29,1021,1019,1016,11,11,11,26,6,29,0.00,0,,185<br />
2012-1-20,15,13,12,14,11,9,94,85,82,1017,1016,1014,11,10,8,10,3,,0.00,8,Rain,152<br />
2012-1-23,18,16,13,14,10,6,94,67,48,1014,1013,1011,11,11,11,19,6,,0.00,1,,246<br />
2012-1-24,15,9,3,5,2,-1,100,60,34,1025,1024,1023,11,11,11,13,2,,0.00,0,,355<br />
2012-1-25,21,13,7,9,4,1,76,53,43,1022,1020,1017,11,11,11,16,6,,0.00,3,,142<br />
2012-1-26,16,16,15,15,14,14,100,95,88,1014,1010,1006,11,7,5,13,2,23,0.00,7,Rain,145<br />
2012-1-27,11,8,6,3,2,2,76,67,58,1017,1016,1015,11,11,11,13,10,,0.00,5,,291<br />
2012-1-30,17,8,1,-1,-4,-7,75,42,22,1030,1029,1026,11,11,11,16,3,,0.00,0,,203<br />
2012-1-31,18,14,10,-1,-2,-3,40,33,27,1028,1026,1023,11,11,11,16,6,21,0.00,2,,173<br />
2012-2-1,15,13,13,14,13,12,94,94,94,1022,1021,1019,8,6,3,0,0,,0.00,7,Rain,-1<br />
2012-2-2,18,13,11,11,6,1,100,64,32,1025,1025,1024,11,9,0,14,5,,0.00,0,Fog,32<br />
2012-2-3,16,13,11,3,1,0,50,43,38,1027,1026,1025,11,11,11,24,14,37,0.00,0,,136<br />
2012-2-6,12,8,6,6,5,4,93,73,58,1025,1023,1022,11,10,6,11,3,,0.00,5,,13<br />
2012-2-7,14,7,1,3,0,-3,93,57,31,1025,1024,1022,11,11,11,11,5,32,0.00,0,,14<br />
2012-2-8,10,8,7,3,2,1,71,62,54,1026,1026,1025,11,11,11,14,6,,0.00,5,,338<br />
2012-2-9,8,4,2,-1,-2,-3,70,61,50,1027,1026,1024,11,11,11,11,5,23,0.00,5,,354<br />
2012-2-10,8,4,0,0,-1,-2,87,70,53,1021,1020,1017,11,10,8,14,2,,0.00,2,,236<br />
2012-2-12,0,-2,-3,-14,-14,-14,43,38,35,1033,1033,1032,11,11,11,11,8,,0.00,0,,344<br />
2012-2-13,8,1,-5,-6,-7,-9,86,54,34,1026,1024,1019,11,11,11,11,2,,0.00,1,,150<br />
2012-2-14,9,6,4,6,5,3,93,90,82,1016,1016,1015,8,6,5,6,0,,0.00,8,,160<br />
2012-2-15,17,10,3,17,7,2,100,73,48,1023,1021,1019,11,10,3,19,3,26,0.00,1,,140<br />
2012-2-16,17,13,11,12,11,8,100,77,55,1020,1020,1019,11,9,3,13,3,,0.00,5,Rain,326<br />
2012-2-17,16,11,7,5,4,2,81,59,39,1023,1021,1019,11,11,11,8,5,,0.00,0,,358<br />
2012-2-21,19,14,10,7,2,-6,72,47,18,1020,1017,1015,11,11,11,29,16,47,0.00,3,,224<br />
2012-2-22,18,14,11,12,11,10,94,76,63,1012,1010,1005,11,9,5,32,13,39,0.00,6,,210<br />
2012-2-23,25,19,14,14,13,12,100,70,44,1004,1001,998,11,11,6,32,16,45,0.00,2,,189<br />
2012-2-24,14,13,12,1,-3,-5,41,33,29,1015,1012,1008,11,11,11,29,19,42,0.00,4,,301<br />
2012-2-27,19,14,10,5,4,3,66,49,40,1030,1028,1027,11,11,11,0,0,,0.00,4,,-1<br />
2012-2-28,21,16,10,11,7,5,76,51,35,1027,1025,1023,11,11,11,14,6,19,0.00,2,Rain,145<br />
2012-2-29,22,20,18,16,16,16,88,79,69,1031,1017,1012,11,11,8,32,18,52,0.00,7,,201<br />
2012-3-1,23,12,3,5,2,0,81,42,25,1016,1014,1011,11,11,11,8,0,21,0.00,0,,230<br />
2012-3-2,26,22,19,17,16,14,88,68,47,1007,1005,1003,11,11,11,37,24,58,0.00,5,Rain-Thunderstorm,200<br />
2012-3-5,12,8,6,-4,-6,-8,49,35,24,1030,1029,1026,11,11,11,19,16,35,0.00,0,,356<br />
2012-3-6,19,12,7,-5,-7,-8,37,26,19,1032,1031,1028,11,11,11,21,16,34,0.00,0,,139<br />
2012-3-7,21,16,12,9,8,7,72,55,43,1031,1029,1026,11,11,11,29,23,40,0.00,3,,158<br />
2012-3-8,23,19,16,14,12,11,72,62,53,1024,1022,1019,11,11,11,21,16,34,0.00,4,,177<br />
2012-3-9,14,9,5,2,-1,-3,81,55,35,1029,1028,1026,11,11,11,27,24,42,0.00,1,,22<br />
2012-3-12,19,17,17,14,14,13,82,78,73,1024,1023,1022,11,11,11,24,18,34,0.00,8,,162<br />
2012-3-13,26,22,18,17,14,11,88,66,39,1024,1023,1021,11,11,11,11,3,,0.00,5,,236<br />
2012-3-14,28,19,13,17,14,11,94,69,35,1025,1024,1022,11,10,8,0,0,,0.00,1,,-1<br />
2012-3-15,28,20,15,17,15,12,94,74,37,1026,1025,1022,11,10,8,19,3,,0.00,1,,225<br />
2012-3-16,24,20,16,16,15,13,82,70,57,1023,1022,1022,11,11,11,11,3,,0.00,2,Thunderstorm,256<br />
2012-3-19,28,22,16,13,12,10,82,55,32,1023,1021,1019,11,11,11,13,2,26,0.00,0,,190<br />
2012-3-20,28,23,19,14,13,12,68,50,37,1020,1019,1017,11,11,11,23,10,35,0.00,0,,143<br />
2012-3-21,26,22,19,15,14,12,73,57,42,1021,1020,1019,11,11,11,24,11,40,0.00,2,,145<br />
2012-3-22,23,21,19,17,16,15,88,73,61,1021,1020,1019,11,11,8,26,13,39,0.00,3,Rain,154<br />
2012-3-23,25,19,16,18,17,15,100,82,54,1016,1015,1013,11,11,8,14,8,,0.00,5,Rain,185<br />
2012-3-26,25,17,11,12,11,9,94,62,38,1020,1019,1018,11,10,6,23,5,32,0.00,0,,6<br />
2012-3-27,26,19,13,10,9,8,77,49,34,1022,1022,1020,11,11,11,19,6,24,0.00,0,,135<br />
2012-3-28,27,21,17,14,13,10,77,56,34,1022,1021,1018,11,11,11,19,5,29,0.00,1,,215<br />
2012-3-29,28,20,14,16,14,12,94,64,37,1018,1017,1014,11,11,11,10,0,,0.00,2,,250<br />
2012-3-30,21,19,17,18,17,15,94,88,83,1015,1014,1012,11,11,11,0,0,,0.00,4,,-1<br />
2012-4-2,28,22,16,18,17,14,94,67,42,1013,1012,1011,11,11,11,11,2,21,0.00,2,,243<br />
2012-4-3,28,22,17,17,15,13,94,63,42,1016,1015,1012,11,11,11,10,0,,0.00,0,,270<br />
2012-4-4,27,21,16,15,14,14,94,67,45,1012,1011,1008,11,11,11,10,2,,0.00,0,,240<br />
2012-4-5,23,18,15,17,16,14,100,81,57,1009,1008,1006,11,11,8,14,2,,0.00,2,,240<br />
2012-4-6,20,14,10,8,6,5,71,57,37,1016,1015,1014,11,11,11,19,13,26,0.00,0,,6<br />
2012-4-9,22,16,9,6,3,2,82,39,27,1022,1021,1020,11,11,11,13,3,23,0.00,0,,290<br />
2012-4-10,21,16,11,11,10,8,82,59,49,1019,1019,1017,11,11,11,11,3,,0.00,2,,312<br />
2012-4-11,17,11,6,3,-1,-5,76,40,23,1022,1021,1020,11,11,11,19,5,37,0.00,0,,336<br />
2012-4-12,17,10,5,1,-1,-3,76,45,30,1025,1024,1022,11,11,11,0,0,,0.00,0,,-1<br />
2012-4-13,21,14,8,6,4,2,81,48,28,1023,1023,1022,11,11,11,0,0,,0.00,0,,-1<br />
2012-4-16,26,21,17,18,17,14,94,74,47,1022,1020,1019,11,11,11,13,10,32,0.00,4,,205<br />
2012-4-17,16,16,15,14,13,13,94,89,88,1024,1024,1023,11,11,11,19,11,,0.00,6,Rain,5<br />
2012-4-18,22,17,12,12,11,9,82,61,46,1020,1019,1017,11,11,11,14,10,,0.00,1,,5<br />
2012-4-19,23,18,14,12,11,10,82,60,44,1018,1017,1015,11,11,11,8,2,,0.00,1,,115<br />
2012-4-20,23,19,16,15,14,13,88,76,53,1014,1013,1011,11,11,11,11,5,,0.00,5,,168<br />
2012-4-23,15,10,6,1,-3,-5,70,40,25,1015,1014,1014,11,11,11,37,21,64,0.00,0,,337<br />
2012-4-24,21,14,8,5,4,3,71,46,33,1015,1015,1013,11,11,11,19,8,27,0.00,1,,267<br />
2012-4-25,28,20,15,15,12,9,67,55,45,1013,1012,1011,11,11,11,19,11,42,0.00,0,,214<br />
2012-4-26,27,22,19,17,16,14,73,61,54,1014,1013,1012,11,11,11,23,11,27,0.00,3,,240<br />
2012-4-27,27,23,20,19,18,17,83,67,58,1017,1017,1015,11,11,10,10,0,,0.00,5,,200<br />
2012-4-30,29,22,15,17,16,14,94,65,40,1021,1021,1019,11,11,11,11,2,,0.00,0,,227<br />
2012-5-1,31,26,21,18,16,7,73,53,34,1020,1019,1017,11,11,11,11,2,,0.00,1,,193<br />
2012-5-2,31,26,22,18,17,16,78,55,40,1020,1019,1017,11,11,11,13,3,,0.00,1,,158<br />
2012-5-3,21,19,19,19,18,17,94,90,88,1021,1021,1020,11,8,6,8,0,,0.00,7,Rain,150<br />
2012-5-4,27,23,20,20,19,18,88,78,61,1020,1019,1018,11,11,11,11,2,,0.00,6,,0<br />
2012-5-7,25,22,21,19,18,17,78,73,61,1015,1015,1013,11,11,11,13,5,,0.00,3,,172<br />
2012-5-8,27,22,18,18,17,17,94,76,54,1014,1014,1013,11,8,1,6,0,,0.00,6,Fog,270<br />
2012-5-9,24,18,16,13,12,10,82,71,41,1014,1014,1012,11,11,11,10,3,35,0.00,4,,40<br />
2012-5-10,24,19,15,10,8,6,72,45,31,1015,1015,1014,16,12,11,8,2,,0.00,2,,347<br />
