SITE_ID,SITE_ID,INDUSTRY,SUB_INDUSTRY,SQ_FT,LAT,LNG,TIME_ZONE,TZ_OFFSET,LocationMeta
144,144,Education,Primary/Secondary School,86867,38.14657096,-75.84018987,America/New_York,-04:00,"Annie Hyland Road, Champ, Somerset County, Maryland, 21853, United States of America"
153,153,Education,Primary/Secondary School,105215,40.26375183,-74.97108041,America/New_York,-04:00,"Durham Road, Wrightstown Township, Bucks County, penna, 18940, United States of America"
186,186,Education,Primary/Secondary School,117074,39.22671205,-76.86400257,America/New_York,-04:00,"Pasture Gate Lane, Village of Wilde Lake, Columbia, Howard County, Maryland, 21044, United States of America"
197,197,Education,Primary/Secondary School,132737,38.14344984,-75.91579796,America/New_York,-04:00,"Custom House Road, Deal Island, Somerset County, Maryland, 21821, United States of America"
213,213,Education,Primary/Secondary School,72333,35.47966886,-107.095281,America/Denver,-06:00,"NM 279, Casa Salazar, Sandoval County, New Mexico, United States of America"
214,214,Education,Primary/Secondary School,95132,33.09246724,-96.69975550000001,America/Chicago,-05:00,"West Bethany Drive, Plano, Collin County, Texas, 75013, United States of America"
217,217,Education,Primary/Secondary School,315404,40.3065895,-75.48928221,America/New_York,-04:00,"Faust Road, Upper Frederick Township, Montgomery County, penna, 18074, United States of America"
218,218,Education,Primary/Secondary School,197266,35.58555457,-86.53450821,America/Chicago,-05:00,"Kennedy Road, Fall Creek, Bedford County, Tennessee, 37160, United States of America"
224,224,Education,Primary/Secondary School,129663,36.18381825,-87.27503507,America/Chicago,-05:00,"Peabody Road, Dull, Dickson County, Tennessee, 37036, United States of America"
228,228,Education,Primary/Secondary School,77247,35.58568398,-106.3737145,America/Denver,-06:00,"Pueblo Route 85, Cochiti Pueblo, Sandoval County, New Mexico, 87041, United States of America"
236,236,Education,Primary/Secondary School,92032,34.90931424,-107.0155435,America/Denver,-06:00,"Indian Service Rt 611, Bernalillo County, New Mexico, United States of America"
259,259,Education,Primary/Secondary School,153699,40.8828578,-73.56775637,America/New_York,-04:00,"Beaver Drive, Locust Valley, Nassau County, New York, 11560, United States of America"
270,270,Education,Primary/Secondary School,276443,39.70345378,-75.36276254,America/New_York,-04:00,"Auburn Road, Seven Stars, Salem County, New Jersey, 08098, United States of America"
275,275,Education,Primary/Secondary School,108405,40.26934257,-74.74514292,America/New_York,-04:00,"Rossa Avenue, Lawrence Township, Mercer County, New Jersey, 08648, United States of America"
281,281,Food Sales & Storage,Grocer/Market,48878,33.61963386,-116.6222695,America/Los_Angeles,-07:00,"Morris Ranch Road, Thomas Mountain, Riverside County, California, 92361, United States of America"
285,285,Food Sales & Storage,Grocer/Market,42534,33.95631704,-117.0477889,America/Los_Angeles,-07:00,"Harmon Heights, Beaumont, Riverside County, California, 92223, United States of America"
304,304,Food Sales & Storage,Grocer/Market,31022,34.77380195,-117.063032,America/Los_Angeles,-07:00,"Stoddard Wells Road, Barstow, San Bernardino County, California, 92311, United States of America"
339,339,Food Sales & Storage,Grocer/Market,27988,34.42182061,-117.7651881,America/Los_Angeles,-07:00,"Largo Vista Road, Largo Vista, Los Angeles County, California, 93563, United States of America"
341,341,Food Sales & Storage,Grocer/Market,54589,42.02888731,-71.62585461,America/New_York,-04:00,"Chestnut Street, Uxbridge, Worcester County, Massachusetts, 01569, United States of America"
363,363,Food Sales & Storage,Grocer/Market,31964,34.49497719,-117.0152966,America/Los_Angeles,-07:00,"Ivanhoe Road, Victorville, San Bernardino County, California, 92356, United States of America"
366,366,Food Sales & Storage,Grocer/Market,54178,41.49974856,-72.80533999,America/New_York,-04:00,"Partridge Run, Tracy, New Haven County, Connecticut, 06492, United States of America"
384,384,Food Sales & Storage,Grocer/Market,27625,34.29665466,-118.2585456,America/Los_Angeles,-07:00,"Delta Canyon Road, Arcadia, Los Angeles County, California, United States of America"
386,386,Food Sales & Storage,Grocer/Market,43690,33.56634185,-117.6659077,America/Los_Angeles,-07:00,"Los Altos, Mission Viejo, Orange County, California, 92691, United States of America"
391,391,Food Sales & Storage,Grocer/Market,56926,40.65600584,-73.83714808,America/New_York,-04:00,"161-08, 95th Street, Howard Beach, South Ozone Park, Queens County, NYC, New York, 11414, United States of America"
399,399,Food Sales & Storage,Grocer/Market,45105,40.97791628,-72.32981842,America/New_York,-04:00,"Old Sag Harbor Road, Noyack, Suffolk County, New York, 11963, United States of America"
400,400,Food Sales & Storage,Grocer/Market,24050,34.012442799999995,-117.76486640000002,America/Los_Angeles,-07:00,"Chino Avenue, Chino Hills, San Bernardino County, California, 91761, United States of America"
401,401,Food Sales & Storage,Grocer/Market,26721,33.81528003,-117.53437,America/Los_Angeles,-07:00,"Shoalcreek Drive, Corona, Riverside County, California, 92881, United States of America"
