SITE_ID,SITE_ID,INDUSTRY,SUB_INDUSTRY,SQ_FT,LAT,LNG,TIME_ZONE,TZ_OFFSET,LocationMeta,LocationRaw,Address,Add1,Add2,City,County,State,ZIP,Country,Weather File,ClimateZone
32,32,Commercial Property,Shopping Center/Shopping Mall,880941,34.37390331,-87.04651781,America/Chicago,-5:00:00,"Summerford Road, Camp Ground, Morgan County, Alabama, 35619, United States of America",<built-in method values of dict object at 0x10de32fe0>,"Summerford Road, Camp Ground, Morgan County, Alabama, 35619, United States of America",,Summerford Road, Camp Ground, Morgan County, Alabama,35619, United States of America,AL_Huntsville,3
771,771,Light Industrial,Food Processing,1821,33.68743829,-112.0119562,America/Phoenix,-6:00:00,"East Deer Valley Road, Phoenix, Maricopa County, Arizona, 85024, United States of America",<built-in method values of dict object at 0x10d28d170>,"East Deer Valley Road, Phoenix, Maricopa County, Arizona, 85024, United States of America",,East Deer Valley Road, Phoenix, Maricopa County, Arizona,85024, United States of America,AR_Phoenix,5
832,832,Light Industrial,Manufacturing,186614,35.81109974,-89.96906061,America/Chicago,-5:00:00,"Hwy 148, Burdette, Mississippi County, Arkansas, 72315, United States of America",<built-in method values of dict object at 0x10d761750>,"Hwy 148, Burdette, Mississippi County, Arkansas, 72315, United States of America",,Hwy 148, Burdette, Mississippi County, Arkansas,72315, United States of America,AR_Blytheville,3
31,31,Commercial Property,Commercial Real Estate,294651,33.18898647,-117.2366393,America/Los_Angeles,-7:00:00,"857, Phillips Street, Vista, San Diego County, California, 92083, United States of America",<built-in method values of dict object at 0x10de276c0>,"857, Phillips Street, Vista, San Diego County, California, 92083, United States of America",857, Phillips Street, Vista, San Diego County, California,92083, United States of America,CA_SanDiego,2
474,474,Food Sales & Storage,Grocer/Market,44594,33.33367945,-117.2877342,America/Los_Angeles,-7:00:00,"Ammunition Road, Fallbrook Naval Weapons Station, DeLuz, San Diego County, California, 92028, United States of America",<built-in method values of dict object at 0x10d743a90>,"Ammunition Road, Fallbrook Naval Weapons Station, DeLuz, San Diego County, California, 92028, United States of America",Ammunition Road, Fallbrook Naval Weapons Station, DeLuz, San Diego County, California,92028, United States of America,CA_SanDiego,2
767,767,Light Industrial,Food Processing,189836,33.7222721,-118.3243791,America/Los_Angeles,-7:00:00,"West 35th Street, San Pedro, L.A., Los Angeles County, California, 90732, United States of America",<built-in method values of dict object at 0x10d57d030>,"West 35th Street, San Pedro, L.A., Los Angeles County, California, 90732, United States of America",West 35th Street, San Pedro, L.A., Los Angeles County, California,90732, United States of America,CA_LosAngeles,3
281,281,Food Sales & Storage,Grocer/Market,48878,33.61963386,-116.6222695,America/Los_Angeles,-7:00:00,"Morris Ranch Road, Thomas Mountain, Riverside County, California, 92361, United States of America",<built-in method values of dict object at 0x10d273a20>,"Morris Ranch Road, Thomas Mountain, Riverside County, California, 92361, United States of America",,Morris Ranch Road, Thomas Mountain, Riverside County, California,92361, United States of America,CA_LosAngeles,3
285,285,Food Sales & Storage,Grocer/Market,42534,33.95631704,-117.0477889,America/Los_Angeles,-7:00:00,"Harmon Heights, Beaumont, Riverside County, California, 92223, United States of America",<built-in method values of dict object at 0x10d54a6f0>,"Harmon Heights, Beaumont, Riverside County, California, 92223, United States of America",,Harmon Heights, Beaumont, Riverside County, California,92223, United States of America,CA_LosAngeles,3
304,304,Food Sales & Storage,Grocer/Market,31022,34.77380195,-117.063032,America/Los_Angeles,-7:00:00,"Stoddard Wells Road, Barstow, San Bernardino County, California, 92311, United States of America",<built-in method values of dict object at 0x10d572d40>,"Stoddard Wells Road, Barstow, San Bernardino County, California, 92311, United States of America",,Stoddard Wells Road, Barstow, San Bernardino County, California,92311, United States of America,CA_LosAngeles,3
339,339,Food Sales & Storage,Grocer/Market,27988,34.42182061,-117.7651881,America/Los_Angeles,-7:00:00,"Largo Vista Road, Largo Vista, Los Angeles County, California, 93563, United States of America",<built-in method values of dict object at 0x10d2848c0>,"Largo Vista Road, Largo Vista, Los Angeles County, California, 93563, United States of America",,Largo Vista Road, Largo Vista, Los Angeles County, California,93563, United States of America,CA_LosAngeles,3
